T3SStype	bopB	bopD	bopN	bsp22	bteA
1	2	21	24	3	2
2	3	3	3	2	3
3	1	1	1	1	1
4	4	1	1	1	1
5	10	6	7	5	8
6	13	23	7	5	11
7	14	24	26	10	12
8	15	25	14	5	2
9	16	21	27	3	2
10	2	4	28	11	2
11	2	4	5	3	2
12	2	26	3	3	15
13	20	27	29	5	17
14	2	4	5	3	13
15	6	1	2	1	6
16	8	4	5	3	2
17	24	28	30	5	22
18	25	29	31	12	2
19	2	30	3	13	2
20	5	31	32	5	14
21	27	6	7	5	8
22	21	32	33	5	19
23	5	33	34	14	9
24	43	14	18	6	21
25	26	34	3	3	2
26	5	33	32	14	9
27	11	35	35	5	10
28	5	33	34	14	11
29	5	33	32	14	18
30	2	36	36	13	2
31	18	4	3	11	2
32	2	34	37	15	2
33	17	21	38	3	16
34	28	37	39	5	24
35	8	4	40	3	2
36	22	38	41	5	20
37	2	22	24	3	28
38	12	40	32	5	9
39	31	4	3	3	30
40	5	33	32	14	31
41	2	41	3	3	2
42	1	1	1	1	33
43	2	42	24	3	2
44	2	34	3	3	2
45	41	15	17	6	34
46	18	4	44	13	15
47	32	23	35	14	35
48	19	43	25	5	20
49	2	21	3	3	2
50	33	44	41	5	14
51	36	34	3	3	2
52	5	33	45	5	20
53	45	16	19	8	37
54	2	45	46	3	2
55	10	46	7	5	8
56	3	47	7	16	38
57	46	17	20	4	39
58	2	22	24	3	2
59	32	23	34	14	17
60	8	48	5	3	2
61	18	4	44	13	2
62	18	4	44	13	13
63	47	18	21	4	40
64	5	33	34	14	20
65	37	49	32	5	41
66	11	35	35	5	42
67	19	39	42	5	20
68	5	23	25	17	20
69	10	6	7	5	43
70	38	50	29	5	11
71	39	51	47	5	44
72	2	4	3	3	15
73	41	19	22	9	45
74	5	33	32	14	46
75	32	23	35	14	41
76	43	20	23	6	45
77	48	5	6	4	49
78	34	6	7	5	8
79	44	5	48	4	36
80	35	21	24	3	2
81	N	N	N	N	N
82	18	4	44	13	14
83	49	23	25	14	20
84	51	23	51	18	20
85	46	56	20	4	54
86	50	53	49	4	53
87	3	54	50	5	56
88	52	55	18	6	55
89	43	55	18	6	57
90	53	35	35	5	10
91	1	8	1	1	1
92	40	1	1	1	1
93	1	1	4	1	1
94	1	1	13	1	1
95	1	1	1	1	65
