#node_id	parent_node_id	gene_symbol	hmm_id	hmm_tc1	hmm_tc2	blastrule_complete_ident	blastrule_complete_wp_coverage	blastrule_complete_br_coverage	blastrule_partial_ident	blastrule_partial_wp_coverage	blastrule_partial_br_coverage	reportable	type	subtype	class	subclass	family_name
MOLECULAR_BIOVAR	ALL	-	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR			
MOLECULAR_GLYCOGEN	MOLECULAR_BIOVAR	-	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR			
DIP0351	MOLECULAR_GLYCOGEN	DIP0351	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	SpuA-CLUSTER	SpuA-CLUSTER	Corynebacterium diphtheriae spuA-associated gene cluster DIP0351
DIP0353	MOLECULAR_GLYCOGEN	DIP0353	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	SpuA-CLUSTER	SpuA-CLUSTER	Corynebacterium diphtheriae spuA-associated gene cluster DIP0353
DIP0354	MOLECULAR_GLYCOGEN	DIP0354	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	SpuA-CLUSTER	SpuA-CLUSTER	Corynebacterium diphtheriae spuA-associated gene cluster DIP0354
spuA	MOLECULAR_GLYCOGEN	spuA	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	spuA	spuA	Corynebacterium diphtheriae spuA-associated gene cluster spuA
MOLECULAR_NITRATE	MOLECULAR_BIOVAR	-	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	MOLECULAR_BIOVAR				
narI	MOLECULAR_NITRATE	narI	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	narIJHK	narIJHK	Corynebacterium diphtheriae respiratory nitrate reductase subunit gamma narI
narJ	MOLECULAR_NITRATE	narJ	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	narIJHK	narIJHK	Corynebacterium diphtheriae nitrate reductase molybdenum cofactor assembly chaperone narJ
narH	MOLECULAR_NITRATE	narH	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	narIJHK	narIJHK	Corynebacterium diphtheriae nitrate reductase subunit beta narH
narG	MOLECULAR_NITRATE	narG	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	narG	narG	Corynebacterium diphtheriae nitrate reductase subunit alpha narG
narK	MOLECULAR_NITRATE	narK	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1	MOLECULAR_BIOVAR	MOLECULAR_BIOVAR	narIJHK	narIJHK	Corynebacterium diphtheriae MFS transporter narK
VIRULENCE_Corynebacterium	VIRULENCE	-	-	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	VIRULENCE	VIRULENCE			
