TOP_ONT;2.0
Flye;
racon;
Medaka;
mlst;2.23.0
Kraken2;2.1.2
Trimmomatic;0.39
R;4.1.1
Abricate;1.0.1
AbricateDB;2023-Nov-4
NGStar;leosanbu/pyngSTar-2024-Jan-01
NGStarDB;2025-Mar-03
Hicap;1.0.3
Seroba;1.0.2
Virulencefinder;1.0.1
VirulencefinderDB;2025-Feb-27
emmtyper;0.2.0
emmtyperDB;2025-Feb-27
menigotype;0.8.5
ngmaster;0.5.8
seqsero;1.2.1
tartrate;garcia-nacho/tartrate-2024-Jan-01
tbpipeline;1.0
JonsEcoliPipeline;1.0
Nextflow;23.10.1
HinfPBPT;garcia-nacho/TOP/PBP3MutFinder-2025-Mar-03
Diphtoscan;garcia-nacho/DiphtoDocker-2025-Mar-03
BPE_scanner;garcia-nacho/TOP/BPEProfiler-2025-Mar-03
TBProfiler;6.2.0
TBProfilerDB;2024-Oct-14
