Class	Virulence factors	Strains	Accession no.	Related genes	Locus
Adherence	Surface-anchored pilus proteins	C. diphtheriae NCTC13129	NC_002935	sapA	DIP2066
Adherence	Surface-anchored pilus proteins	C. diphtheriae NCTC13129	NC_002935	sapD	DIP0443
Adherence	SpaH-type pili	C. diphtheriae NCTC13129	NC_002935	spaG	DIP2227
Adherence	SpaH-type pili	C. diphtheriae NCTC13129	NC_002935	spaH	DIP2226
Adherence	SpaH-type pili	C. diphtheriae NCTC13129	NC_002935	srtD	DIP2225
Adherence	SpaH-type pili	C. diphtheriae NCTC13129	NC_002935	srtE	DIP2224
Adherence	SpaH-type pili	C. diphtheriae NCTC13129	NC_002935	spaI	DIP2223
Adherence	SpaD-type pili	C. diphtheriae NCTC13129	NC_002935	spaF	DIP0238
Adherence	SpaD-type pili	C. diphtheriae NCTC13129	NC_002935	spaE	DIP0237
Adherence	SpaD-type pili	C. diphtheriae NCTC13129	NC_002935	srtC	DIP0236
Adherence	SpaD-type pili	C. diphtheriae NCTC13129	NC_002935	spaD	DIP0235
Adherence	SpaD-type pili	C. diphtheriae NCTC13129	NC_002935	srtB	DIP0233
Adherence	SpaA-type pili	C. diphtheriae NCTC13129	NC_002935	spaA	DIP2013
Adherence	SpaA-type pili	C. diphtheriae NCTC13129	NC_002935	srtA	DIP2012
Adherence	SpaA-type pili	C. diphtheriae NCTC13129	NC_002935	spaB	DIP2011
Adherence	SpaA-type pili	C. diphtheriae NCTC13129	NC_002935	spaC	DIP2010
Iron uptake	Siderophore-dependent iron uptake system	C. diphtheriae NCTC13129	NC_002935	irp6C	DIP0110
Iron uptake	Siderophore-dependent iron uptake system	C. diphtheriae NCTC13129	NC_002935	irp6B	DIP0109
Iron uptake	Siderophore-dependent iron uptake system	C. diphtheriae NCTC13129	NC_002935	irp6A	DIP0108
Regulation	Diphtheria toxin repressor DtxR	C. diphtheriae NCTC13129	NC_002935	dtxR	DIP1414
Toxin	Diphtheria toxin (DT)	C. diphtheriae NCTC13129	NC_002935	tox	DIP0222
Iron uptake	Ciu iron uptake and siderophore biosynthesis system	C. diphtheriae NCTC13129	NC_002935	ciuE	DIP0586
Iron uptake	Ciu iron uptake and siderophore biosynthesis system	C. diphtheriae NCTC13129	NC_002935	ciuD	DIP0585
Iron uptake	Ciu iron uptake and siderophore biosynthesis system	C. diphtheriae NCTC13129	NC_002935	ciuC	DIP0584
Iron uptake	Ciu iron uptake and siderophore biosynthesis system	C. diphtheriae NCTC13129	NC_002935	ciuB	DIP0583
Iron uptake	Ciu iron uptake and siderophore biosynthesis system	C. diphtheriae NCTC13129	NC_002935	ciuA	DIP0582
Iron uptake	ABC-type heme transporter	C. diphtheriae NCTC13129	NC_002935	hmuV	DIP0628
Iron uptake	ABC-type heme transporter	C. diphtheriae NCTC13129	NC_002935	hmuU	DIP0627
Iron uptake	ABC-type heme transporter	C. diphtheriae NCTC13129	NC_002935	hmuT	DIP0626
Iron uptake	ABC transporter	C. diphtheriae NCTC13129	NC_002935	fagD	DIP1062
Iron uptake	ABC transporter	C. diphtheriae NCTC13129	NC_002935	fagA	DIP1061
Iron uptake	ABC transporter	C. diphtheriae NCTC13129	NC_002935	fagB	DIP1060
Iron uptake	ABC transporter	C. diphtheriae NCTC13129	NC_002935	fagC	DIP1059
Adherence	SpaH-type pili	C. efficiens YS-314	NC_004369	srtD	CE2454
Adherence	SpaH-type pili	C. efficiens YS-314	NC_004369	srtD	CE2456
Adherence	SpaA-type pili	C. efficiens YS-314	NC_004369	srtA	CE2738
